216	52.27611028	17.07485899	116.863	81.329												
217	52.47498907	21.03521056	139.906	109.097												
301	54.82750441	18.32648890	70.807	41.477												
302	53.89239743	20.66993761	187.049	157.671												
304	53.70400654	16.12958588	238.935	204.757												
306	52.09727216	21.03153446	141.653	110.082												
307	51.22721644	16.04245091	203.857	162.618												
308	50.82984684	19.57727558	303.612	265.842												
309	50.60292302	23.58377515	318.016	287.670												
310	49.62862250	20.94697300	408.373	370.300												
401	49.99607295	18.88557211	331.971	290.224												
402	49.94683817	18.31396594	243.211	200.882												
403	49.77308236	18.68178549	427.395	384.963												
404	49.52194065	18.85798124	677.224	634.571												
501	49.75074250	19.78295757	907.653	866.545												
502	49.36095044	19.95395222	1053.225	1011.357												
503	49.87330520	19.32710219	387.728	346.142												
504	49.70608472	19.22645279	465.340	423.361												
603	49.56402025	20.51737283	451.109	411.707												
604	49.40235957	20.96597042	683.407	644.121												
701	49.95617049	21.06317659	378.262	341.140												
702	49.86810009	21.36024113	350.634	314.118												
703	49.87809481	21.86475974	480.941	445.494												
705	49.55537698	21.98598565	493.933	457.871												
802	49.71411461	22.32627966	499.014	464.269												
803	49.70513775	22.81429616	316.828	283.365												
804	49.43331633	22.53097696	541.347	506.030												
805	49.25366928	22.09699637	622.737	585.113												
1001	50.88182440	14.85679781	337.540	294.677												
1101	50.94230531	15.28279017	545.985	503.220												
1102	50.73646988	15.74011006	1645.515	1601.822												
1201	50.93123463	16.51397492	248.376	206.677												
1202	50.80109415	16.03482735	474.980	431.973												
1203	50.68806460	16.65960164	333.202	290.641												
1204	50.64034777	16.97167833	295.320	253.283												
1205	50.39451917	16.59357428	443.122	399.887												
1206	50.17523501	16.67916390	501.205	457.492												
1301	50.91899159	17.01123310	189.914	148.808												
1302	50.86289169	17.30917744	197.340	156.865												
1304	50.65246484	17.51196388	258.866	218.251												
1305	50.69474263	17.93772770	217.991	177.715												
1306	50.44090654	17.15970185	244.767	202.703												
1307	50.40429922	17.61226576	295.631	254.172												
1309	49.99656856	17.93298673	355.994	313.238												
1401	50.86970190	18.37199971	274.735	235.174												
1402	50.75713808	18.63916366	282.505	242.696												
1403	50.48283726	18.46522864	319.336	278.374												
1404	50.46243318	18.18958874	357.048	316.000												
1405	50.39930731	18.92282603	397.432	356.570												
1406	50.27716139	18.51391648	293.319	251.926												
1407	50.19183010	18.14525621	298.572	256.734												
1501	50.83873571	19.97144037	308.324	271.135												
1502	50.59794397	19.93636271	361.473	323.222												
1503	50.20019864	19.77003112	553.000	512.775												
1504	50.86874541	19.10713347	284.397	245.928												
1505	50.62970986	19.61324667	399.957	361.204												
1506	50.54911095	19.15892934	381.074	341.081												
1507	50.43994276	19.71938312	484.864	445.439												
1508	50.36216590	19.34054549	409.646	369.283												
1509	50.10047375	19.40224448	436.327	395.419												
1601	50.84084823	20.88694211	345.130	308.658												
1602	50.59784615	20.35583700	320.904	283.507												
1603	50.46139343	20.81039925	368.506	331.553												
1604	50.42395655	20.40827688	377.865	340.060												
1606	50.14817857	20.48889049	318.957	280.757												
1607	50.01263019	20.06629753	273.833	234.214												
1701	50.93323646	21.96912525	282.106	248.051												
1702	50.90532463	21.55333815	265.227	230.338												
1703	50.67129307	21.31684223	364.202	328.317												
1704	50.67221227	21.86438042	178.277	143.523												
1705	50.49401760	21.27644494	239.727	203.675												
1706	50.25235706	21.79189195	270.147	234.819												
1707	50.19682006	21.01955928	249.374	212.534												
1708	50.13289217	21.33233641	282.097	245.878												
1709	50.03907928	21.72045814	342.990	307.439												
1801	50.91378953	22.99787232	326.459	295.192												
1802	50.78464397	22.24859380	275.527	241.521												
1803	50.78618990	22.65694866	369.006	335.843												
1804	50.40703582	22.35448164	264.133	229.876												
1805	50.36814276	22.87912025	267.414	234.338												
1806	50.15255895	22.56982029	210.304	176.393												
1808	50.01416003	22.12345940	428.651	393.754												
1901	50.88184159	23.48242129	336.662	306.654												
1902	50.74300114	23.86233900	235.014	205.302												
1903	50.67404746	23.12201269	319.379	287.716												
1904	50.42784336	23.82589055	239.577	209.322												
1905	50.35119340	23.40710450	361.551	330.235												
2001	51.93151671	14.72416466	87.753	47.699												
2002	51.63057426	14.85222431	180.228	139.347												
2101	51.92108684	15.20325840	133.744	93.943												
2102	51.72347391	15.18715804	183.879	143.422												
2103	51.74061230	15.89379267	107.558	67.659												
2104	51.59481099	15.45382228	174.766	133.986												
2105	51.56168687	15.93430306	176.138	135.744												
2106	51.48648438	15.13041506	182.262	141.224												
2107	51.30661512	15.59428486	228.988	187.708												
2108	51.18849431	15.03345356	257.740	215.773												
2109	51.10892191	15.34580253	324.733	282.677												
2110	51.00258819	15.62400328	523.835	481.507												
2201	51.81811153	16.25313283	142.214	103.004												
2202	51.82639853	16.69978513	147.233	108.810												
2203	51.61763434	16.41540978	122.817	83.228												
2204	51.38278004	16.85558693	149.058	109.231												
2205	51.29849029	16.46064151	188.818	148.158												
2206	51.09240427	16.63833573	210.821	169.711												
2207	51.05332958	16.31016135	246.869	205.297												
2301	51.90243070	17.04320968	158.264	120.881												
2302	51.87836989	17.74957518	185.554	149.379												
2303	51.76036155	17.48837051	195.194	157.873												
2304	51.62822177	17.09994894	147.447	108.851												
2305	51.58915671	17.54498543	168.244	130.215												
2306	51.62912689	17.86709612	222.565	185.321												
2307	51.35174313	17.42809463	256.135	217.000												
2308	51.26824479	17.91025758	222.914	184.193												
2309	51.20024850	17.10822880	178.394	138.426												
2310	51.15349075	17.48441878	202.863	163.317												
2311	51.08640536	17.76783110	216.821	177.492												
